# CCONJ words ending in -que (excluding bare 'que')
# Format: word	count


Babilonaque	1
Sidonemque	1
minimusque	1
illicque	1
Priuaturque	1
tergaque	1
replentque	1
misitque	1
Octauoque	1
Preceditque	1
genitusque	1
Candeolusque	1
Marsipposque	1
Voluunturque	1
horribilesque	1
Feruentique	1
undeque	1
mirandaque	1
Imperiique	1
nimiosque	1
strinxitque	1
tinxitque	1
Cassanderque	1
Ciliciamque	1
Respondentque	1
uereque	1
mundanaque	1
Arbitrioque	1
eburque	1
reprobusque	1
tristitiamque	1
binaque	1
vilisque	1
utilitasque	1
propriumque	1
exiguoque	1
afficiorque	1
utilibusque	1
annosaque	1
Accipiterque	1
dictoque	1
precipitantque	1
lapidesque	1
caenoque	1
violatoresque	1
Gregoriumque	1
ductusque	1
Neronique	1
Martinoque	1
Cadulumque	1
scriptumque	1
Recturusque	1
Gregoriusque	1
unguesque	1
viaque	1
exagitatque	1
Sensissetque	1
fontemque	1
Transcenditque	1
Ereptamque	1
Elegitque	1
traitque	1
patrumque	1
victorque	1
hospitioque	1
fugitque	1
discuciatque	1
Saxonibusque	1
tandemque	1
potestque	1
Paulique	1
catholicosque	1
potensque	1
Personisque	1
opifexque	1
vocemque	1
fasque	1
Cunctaque	1
difficilemque	1
bovesque	1
utiliterque	1
Servivitque	1
viroque	1
desererentque	1
dilacerantque	1
belligeroque	1
oprimiturque	1
famulasque	1
mixtosque	1
circumspectique	1
laetitiamque	1
Incipiatque	1
spinaque	1
arvaque	1
terribilique	1
patriamque	1
gemmaque	1
venterque	1
solvitque	1
docetque	1
multoque	1
geniique	1
divinaque	1
iudexque	1
Incenditque	1
Fronsque	1
arboribusque	1
iterque	1
precipitesque	1
Collectaque	1
coctasque	1
flebiliterque	1
talique	1
Oderuntque	1
pudeatque	1
nimioque	1
sacrisque	1
veridicique	1
Christyque	1
excubiaque	1
iudicioque	1
suffugiuntque	1
faciatque	1
difficilique	1
camposque	1
saevaque	1
continuoque	1
lamentaque	1
flebilibusque	1
Christoque	1
incentoresque	1
alitibusque	1
celique	1
mirabiliusque	1
contraque	1
clarique	1
mihique	1
Solvendamque	1
fletusque	1
herebatque	1
sanieque	1
abseque	1
urbeque	1
Membratimque	1
tellureque	1
Marrucinusque	1
exicioque	1
Iniecitque	1
Preque	1
Ippoclidesque	1
extenuatque	1
iuditiumque	1
bifronsque	1
paulumque	1
Sophiaque	1
seditque	1
Venalemque	1
Dictatorque	1
compellabatque	1
Conscenditque	1
conservaruntque	1
ireque	1
admittitque	1
Spectatorque	1
affectuque	1
caduntque	1
cupidusque	1
aelataeque	1
Miliciaeque	1
totisque	1
Dapsiliterque	1
equitumque	1
censorque	1
permaneatque	1
magnusque	1
puellaque	1
Numeriusque	1
Carthaginienseque	1
Xenocratesque	1
nichilque	1
tribuitque	1
extruiturque	1
togaque	1
partumque	1
Illiusque	1
Damonque	1
celsaque	1
aque	1
milesque	1
Egressusque	1
ingentique	1
quosdamque	1
paupertatemque	1
plebisque	1
Nobilibusque	1
Obiecitque	1
composuitque	1
abeuntque	1
turpeque	1
posseque	1
seditioque	1
